Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
India,97.308266,63.9,32.93,1273.59,45.16,303.16,21.475914,6731.805,2456300.049,4.041554187,2100.751461,464,3287263.0
Iraq,99.992004,98.9,0.43,83.85,0.0,5.34,5.987218,15430.376,174559.9976,5.957327503,5980.626918,93,438317.0
Ireland,100.0,100.0,12.34,18.92,0.0,11.8,38.41146,38270.875,35750.0,4.917006978,80886.61574,73,84421.0
Israel,100.0,100.0,4.47,68.82,0.0,2.9,4.0435023,35085.457,62650.00153,3.77358981,43951.24773,400,20770.0
Italy,100.0,100.0,17.27,175.52,0.0,115.83,39.756306,30464.062,317239.9902,0.410278294,33641.63375,206,301340.0
Jamaica,99.36762,83.4,9.09,3.6,0.0,0.65,15.294118,15387.241,8390.000343,0.892291654,5369.498371,273,10991.0
Japan,100.0,100.0,7.69,735.66,63.88,192.72,25.860157,40868.688,1081569.946,0.270304645,40777.6087,347,377944.0
Jordan,100.0,99.9,8.17,16.41,0.0,3.02,15.542974,11258.242,24629.99916,1.955466358,4405.487109,115,89342.0
Kenya,69.7,17.7,68.08,1.25,0.0,10.24,89.12098,1946.3412,22280.00069,4.981132628,1912.647867,94,580367.0
Kiribati,90.03285,9.1,41.03,0.03,0.0,0.0,0.0,2592.4326,90.00000358,3.926445438,1601.861869,147,811.0
Kuwait,100.0,100.0,0.06,70.45,0.0,0.06,0.08509431,94612.555,92650.00153,0.42746394,32373.25112,240,17818.0
Latvia,100.0,100.0,41.52,3.25,0.0,3.19,49.53416,23394.7,7570.000172,2.484326355,17926.84159,30,64589.0
Lesotho,44.50021,39.3,39.47,0.0,0.0,0.5,100.0,2188.859,769.9999809,-0.381431982,1113.37214,71,30355.0
Liberia,23.1,0.4,87.24,0.31,0.0,0.0,0.0,1100.8312,1179.999948,-2.467297635,672.3404992,53,111369.0
Lithuania,100.0,100.0,33.53,0.67,0.0,2.47,78.662415,24873.117,11729.99954,4.573771737,19575.76848,43,65300.0
Luxembourg,100.0,100.0,16.45,0.27,0.0,0.8,74.76635,76273.7,9489.999771,3.283806756,113218.7133,242,2586.0
Madagascar,31.04,0.9,82.77,1.1,0.0,0.91,45.273632,678.70404,4119.999886,4.41123213,522.9895243,48,587041.0
Malawi,11.2,1.2,73.02,0.2,0.0,1.5,88.23529,537.8198,1450.000048,5.448181336,591.8463896,203,118484.0
Maldives,100.0,99.0,1.11,0.61,0.0,0.03,4.6875,18567.896,2109.999895,6.883688846,10561.61351,1802,298.0
Mali,47.836277,0.9,76.64,2.15,0.0,1.17,35.240963,1231.7151,5829.999924,4.756160808,879.0431873,17,1240192.0
Malta,100.0,100.0,7.7,1.86,0.0,0.21,10.144928,80081.51,1659.999967,5.539566337,30186.19596,1380,316.0
Mauritania,45.830032,43.0,24.7,1.36,0.0,0.46,25.274725,4149.229,3950.000048,5.75993059,1743.302901,5,1030700.0
Mauritius,100.0,96.9,8.94,2.5,0.0,0.59,19.093851,22800.158,4170.000076,3.012375903,11097.16898,626,2040.0
