Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Nepal,0.8897379912663756,0.3346693386773547,0.8143744080816584,0.0,0.0,0.003107362861553582,1.0,0.00708881009095574,0.0012505650563726413,0.8203369661418134,0.008555969654744304,0.02405457156534227,0.014738625263642217
Nicaragua,0.869632423580786,0.5501002004008017,0.5336209618015364,0.000425638752348859,0.0,0.0011466466789438938,0.515625,0.019239578231970745,0.0004837884091544558,0.15824765051856535,0.01503211428524776,0.006342747726184777,0.013054940639375505
Niger,0.11544291484716158,0.02104208416833667,0.8505735031042828,0.0001098422586706733,0.0,2.4819192184932767e-05,0.08196721,0.0011593803782291529,0.00019519649926243683,0.7744758774456361,0.002884187616959895,0.0020344662517951173,0.12689269297298283
Nigeria,0.5131004366812227,0.1272545090180361,0.8565716089655898,0.004542761983594274,0.0,0.0042142988330015835,0.26824644,0.010853354433336333,0.01076102362407977,0.5352585104858754,0.017715162495282565,0.026807084729535663,0.09251672242058784
Pakistan,0.7175512008733624,0.47695390781563124,0.45627696516889404,0.016954937213380355,0.011205693035667956,0.020113473346669516,0.36455193,0.020080215735224595,0.01779276783996536,0.46709540845982367,0.009384353007677235,0.03410722833891814,0.07972979320554983
Papua New Guinea,0.5596394650655022,0.08917835671342686,0.5586656845206777,0.0006198241739273707,0.0,0.0006353713199342789,0.28828829,0.014109876221630699,0.0007023337761805352,0.6808537141970527,0.02294080311561131,0.00215414073719483,0.04635305657715159
Rwanda,0.3490022598253275,0.017034068136272545,0.8193202146690519,0.00010788078976583985,0.0,0.00023330040653836797,0.46078434,0.0014341148506191454,0.00011861222549818457,1.0,0.005238809465530851,0.06258975586404979,0.0026357461338901347
Sao Tome and Principe,0.7267161572052402,0.028056112224448898,0.3902978006945175,1.5691751238667613e-05,0.0,4.9638384369865536e-06,0.11111111,0.015356200177252926,8.405591175390894e-06,0.5354140099172869,0.015570920717255963,0.028721876495931067,8.162530300263936e-05
Senegal,0.6768558951965067,0.24549098196392785,0.3914553298958224,0.000872853662650886,0.0,0.0003573963674630318,0.13926498,0.012155410581444454,0.0009862559406628633,0.6758537668714697,0.010637484327234239,0.010172331258975587,0.01970034199499652
Sierra Leone,0.15611353711790393,0.00501002004008016,0.7938545722403452,3.922937809666903e-06,0.0,9.431293030274451e-05,0.9047620000000001,0.0013736293866391984,7.845217580777558e-05,0.7304413221247755,0.0025979285714402625,0.013044518908568694,0.007182926510486247
Solomon Islands,0.6704085152838429,0.09018036072144289,0.5092076186467431,1.9614689048334516e-05,0.0,0.0,0.0,0.008661487497779695,2.8018636426932468e-05,0.4708955167317873,0.018725781302105005,0.002752513164193394,0.0028919394161978054
Somalia,0.44541484716157215,0.027054108216432865,1.0,6.47284738595039e-05,0.0,9.927676873973107e-06,0.057142860000000004,0.0,5.883913333007887e-05,0.91161489027719,0.0016920114433454998,0.002752513164193394,0.06386163399434472
South Africa,0.8362445414847162,0.8627254509018035,0.1104914237609176,0.04087505050782429,0.016802362214452502,0.006239544915292098,0.11157059999999999,0.12167660936807285,0.0410547732252132,0.40098190146326984,0.05661138141854414,0.005624700813786501,0.12209432700137982
Sudan,0.4974076419213974,0.5350701402805611,0.6548458381563717,0.0011729584050904041,0.0,0.005127645105407109,0.6333538,0.01074041069668157,0.0019202105282627952,0.2541496896489201,0.003387136735208357,0.002752513164193394,0.18643249251926633
Togo,0.47994661572052405,0.09068136272545091,0.801957276649479,8.826610071750532e-05,0.0,0.00012409596092466382,0.35714287,0.005180546519189711,0.00021574347871802143,0.7436217973126837,0.005886679558037425,0.01795117280995692,0.00568512723882432
Uganda,0.3591703056768559,0.003006012024048096,0.9493844049247606,1.7653220143501063e-05,0.0,0.002104667497282299,0.9792147,0.0028107428359575733,0.0005416936219872078,0.8063471212183039,0.005047965504709436,0.0271661081857348,0.02413875540341979
Vanuatu,0.6134300218340613,0.0781563126252505,0.3352625486688414,9.807344524167258e-06,0.0,9.927676873973107e-06,0.28571428,0.014085597817904524,1.400931699185375e-05,0.6444616074245672,0.02556041593932297,0.002752513164193394,0.0012186707815167062
Zambia,0.37772925764192145,0.11022044088176353,0.8891928864569083,0.00040210112549085754,0.0,0.00626436410747703,0.8602589999999999,0.013264638964510278,0.0006294853502049285,0.4860994433334955,0.009529893615445947,0.002752513164193394,0.07537540879003359
Zimbabwe,0.41901173580786033,0.2995991983967936,0.8576239082395033,0.0007178976191690433,0.0,0.0022734380041398413,0.55582527,0.0133597991999481,0.0010927267852889812,0.0,0.009633792846178156,0.00430828147438966,0.03913367410311569
