Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Israel,1.0,1.0,1.0,0.04703777754393349,0.013498829003063812,0.0,0.0014395131467261004,0.040435023,0.14888194087339615,0.005846549845367436,0.37805560616786316,0.35464724405454173,0.047630445189085685,0.002078090076075784
Italy,0.0,1.0,1.0,0.1802588656213827,0.030747986552169187,0.0,0.05990360225755373,0.43497692,0.1238304405960093,0.030582311503085973,0.2749444294765221,0.28624666657428416,0.024413595021541407,0.03017822659564698
Italy,1.0,1.0,1.0,0.18173208460486162,0.034427702217636746,0.0,0.05749614061561524,0.39756306,0.12916123343178404,0.029624074166915464,0.28626566427739203,0.2710236745305472,0.024413595021541407,0.03017822659564698
Jamaica,0.0,0.9301376095250291,0.8584999999999999,0.12501315374092392,0.0006767067721675409,0.0,0.00022833656810138147,0.11764706,0.052648778595190925,0.0006668428946489204,0.2938948515163764,0.03736086052589139,0.03243178554332216,0.0010986865937901273
Jamaica,1.0,0.9934060330614086,0.8340000000000001,0.09565400399873723,0.0007061288057400426,0.0,0.00032264949840412596,0.15294117999999998,0.06482447448982946,0.0007789173565525036,0.29942054989959876,0.04170210312699869,0.03243178554332216,0.0010986865937901273
Japan,0.0,1.0,1.0,0.058718299484373356,0.17499833275143087,0.0,0.06777128618017741,0.13271962,0.17901185098944825,0.11366869356607606,0.28315244274032275,0.31023138799506805,0.04128769746290091,0.03785040415541898
Japan,1.0,1.0,1.0,0.08092181416394822,0.1442974214529777,0.07892168369553132,0.09566309435760485,0.25860157,0.173560507976676,0.10100894758108274,0.28244556820636635,0.3289051527808908,0.04128769746290091,0.03785040415541898
Jordan,0.0,0.997377553551574,0.9990000000000001,0.03262127749131853,0.0033541118272652024,0.0,3.971070749589243e-05,0.0046565773999999996,0.04895935002952277,0.002381581676790304,0.3674252327551531,0.03165999623243522,0.013523216850167545,0.008945832747851226
Jordan,1.0,1.0,0.9990000000000001,0.08597285067873303,0.003218770472831694,0.0,0.001499079207969939,0.15542973999999998,0.04720495023239009,0.0022956579356710844,0.32843622205346507,0.033882793602300974,0.013523216850167545,0.008945832747851226
Kenya,0.0,0.332657762627144,0.106,0.788698305798169,0.0003275653071071864,0.0,0.0033257717527809907,0.8004779000000001,0.0062254866346459145,0.0014102699406121264,0.4120750858487102,0.01000930058440601,0.011010052656773576,0.05812382588511624
Kenya,1.0,0.6840551594937885,0.177,0.7164053456803114,0.00024518361310418147,0.0,0.005082970559474231,0.8912098,0.007468621396159052,0.0020761789763139916,0.4110113060984775,0.013662820665396806,0.011010052656773576,0.05812382588511624
