Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Costa Rica,0.9968340611353711,0.9559118236472945,0.37630222035146793,4.9036722620836286e-05,0.0,0.005549571372550966,0.9781277,0.06152677149652574,0.0007639747588167322,0.538327145614709,0.11032444676947026,0.011728099569171853,0.005115753192726154
Croatia,1.0,1.0,0.33252657055666635,0.0008453930979832175,0.0,0.0041448050948837715,0.6595577,0.11055750567102164,0.0015372891482340796,0.6168684401912732,0.1334939959501592,0.008496888463379608,0.005665997873335357
Cuba,0.9978165938864628,0.9358717434869739,0.22666526360096811,0.003244269568594529,0.0,0.0014841876926589795,0.15309779,0.045134375795315304,0.00241427236570578,0.38317381911225934,0.07874701955096788,0.01244614648157013,0.011100941054612937
Cyprus,1.0,1.0,0.12680206250657688,0.000908160102937888,0.0,0.00025811959872330077,0.10097087,0.12615801991247377,0.0006659095631460342,0.7322962624406084,0.25646282833485157,0.01543800861656295,0.0009244190757231426
Denmark,1.0,1.0,0.3948226875723456,0.0012631859747127428,0.0,0.011451575274127978,0.7817689,0.15838641819574426,0.002768241205768982,0.5292498237233377,0.5270135247052832,0.016156055528961225,0.004313922302125994
Dominica,1.0,0.8927855711422845,0.08471009155003684,1.3730282333834162e-05,0.0,9.927676873973107e-06,0.22222221,0.05208192430730151,1.0273499780878513e-05,0.8789297842751811,0.0733518877340428,0.011249401627573001,7.311223459132114e-05
Dominican Republic,0.9890829694323144,0.9088176352705412,0.14711143849310745,0.0033168439180733668,0.0,0.0011714658711288264,0.12247015,0.05231514597698335,0.0025375543306045923,0.7174919959769331,0.07127947537548754,0.02668741024413595,0.004872379589908469
Ecuador,0.9900655021834062,0.9443887775551102,0.18657266126486374,0.0013906814535269171,0.0,0.012508872861206114,0.7804273,0.05742632047904664,0.003663903585132664,0.39451287747668706,0.053051460778937014,0.008257539492580183,0.028397593145237255
El Salvador,0.97117903930131,0.907314629258517,0.20404082921182784,0.0003609102784893551,0.0,0.00205999295134942,0.6928214,0.033898750294022166,0.0007228808000923539,0.5464185891300937,0.03486591669107777,0.037218764959310674,0.002105231741245987
Estonia,1.0,1.0,0.3292644428075345,0.0010729234909438979,0.0,0.0010622614255151224,0.28120895,0.22651195399894325,0.000945161981938485,0.6562404516084354,0.20505180948930202,0.0034705600765916706,0.004527650396123089
Fiji,0.9968982532751092,0.49298597194388777,0.2786488477322951,8.238169400300496e-05,0.0,0.00035243252902604526,0.6283186,0.0442268363687487,0.0001466308559814306,0.3651844232256266,0.052638735814277506,0.005624700813786501,0.0018281063260210749
Finland,1.0,1.0,0.48153214774281805,0.0024773352268046495,0.029490616621983917,0.01582471693711313,0.8152969,0.283896179030167,0.0037965249521251807,0.47196595850840717,0.42835838671995646,0.0019147917663954045,0.03386438521774777
France,1.0,1.0,0.1634220772387667,0.010493858640858967,0.49296401082269803,0.05619561494512477,0.9054302,0.20260097714864048,0.028061595845951054,0.5118391343406001,0.35711348125795717,0.014001914791766396,0.064476978609864
Gabon,0.8987586790393012,0.8777555110220441,0.9458065873934547,0.00024518361310418147,0.0,0.0005013476821356419,0.44690266,0.03465017384335895,0.00048472238504088805,0.644991828575229,0.06672050291038246,0.0008377213977979895,0.02680574950606676
Georgia,1.0,0.8767535070140281,0.2653898768809849,0.0005237121975905316,0.0,0.004432707724228992,0.7698276,0.0935147246004327,0.0009386242397393228,0.7130179230315553,0.0395588131235848,0.006582096696984203,0.00697861286861461
Germany,1.0,1.0,0.18067978533094814,0.05572337011741352,0.09274656848815803,0.11929592915609784,0.52611385,0.21290427662335676,0.061392567307974384,0.46137661176715034,0.41212921280981824,0.028482527525131644,0.035754987481282516
Greece,1.0,1.0,0.19478059560138905,0.00637085100289905,0.0,0.007991779883548352,0.3314121,0.14311662134858466,0.005598123266377431,0.5093157916359848,0.16731976776090798,0.00945428434657731,0.013213884634302116
Grenada,0.9249013537117904,0.8957915831663326,0.10912343470483005,4.119084700150248e-05,0.0,0.0,0.0,0.0501852549257587,2.5216772818235168e-05,0.44087502818428637,0.09380630874214012,0.039372905696505506,3.285042869308676e-05
Guatemala,0.9535153275109169,0.4849699398797595,0.6621067031463749,0.0010807693665632317,0.0,0.00411998590269884,0.6010137600000001,0.02706608253577725,0.0017978623609585013,0.6415344430735608,0.039033559149561296,0.01974629009095261,0.01090353802121637
